archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-S,archetype|Win-SHGC-W,archetype|Window-UAValue,configuration|ChoiceFile,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|total,input|House-ListOfUpgrades,input|Opt-FoundationWallExtIns,input|Opt-Heating-Cooling,input|Opt-Windows,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|Energy-CoolingGJ,output|Energy-HeatingGJ,output|Energy-Total-GJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnvAGBsemntHL-GJ,output|EnvBGBsemntHL-GJ,output|EnvBsemntFHHL-GJ,output|EnvFABsemntHL-GJ,output|EnvTotalHL-GJ,output|EnvWinHL-GJ,output|Gross-HeatLoss-GJ,output|LapsedTime,output|MEUI_kWh_m2,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatHP-GJ,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Internal-Gain-GJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-gross,status|H2KExecutionTime
0.184,0.186,0.186,0.184,10.69,sim-1.choices,HTAP-work-0,1,HTAP-sim-1,5973.94,2144.8500000000004,5988.099999999999,12702.34,3504.8300000000004,16207.17,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps4inEffR20,NBC2020-gas-boiler,NC-3g-LG-u0.85,78.2,0.0,0.0,86.8,135.7,6545.9,3011.3,6.9,0.5,4.4,24.1,77.7,8.2,77.7,1.4,369.1,1936.3,9666.9,1.5,85.3,0.0,252.7,0.0,27.2,4.9,668.63,1744.31,2412.93,2412.93,1.3996317
0.184,0.186,0.186,0.184,10.69,sim-2.choices,HTAP-work-1,2,HTAP-sim-2,5973.94,9703.4,5988.099999999999,12702.34,11063.38,23765.72,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps4inEffR20,ASHP,NC-3g-LG-u0.85,74.4,8.9,0.1,53.4,102.4,20994.0,721.5,6.9,28.8,4.4,6.5,106.0,8.2,106.0,1.52,261.7,792.2,9174.4,53.4,0.0,15.6,240.2,0.7,26.9,4.7,1682.88,550.71,2233.59,2233.59,1.5213638
0.184,0.186,0.186,0.184,10.69,sim-3.choices,HTAP-work-2,3,HTAP-sim-3,5973.94,26040.9,5988.099999999999,12702.34,27400.88,40103.22,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps4inEffR20,GSHP,NC-3g-LG-u0.85,74.3,7.4,0.0,23.5,72.4,12660.2,721.5,6.9,28.8,4.4,7.4,106.0,8.2,106.0,1.54,164.8,792.2,9174.4,23.5,0.0,19.2,240.1,0.2,26.9,4.7,1097.84,550.71,1648.56,1648.56,1.5373967
0.184,0.186,0.186,0.184,10.69,sim-4.choices,HTAP-work-3,4,HTAP-sim-4,5973.94,3544.1800000000003,5988.099999999999,12702.34,4904.16,17606.5,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps4inEffR20,condensing-gas-furnace,NC-3g-LG-u0.85,74.4,0.0,0.0,76.5,125.5,6525.5,2738.5,6.9,28.8,4.4,6.8,106.0,8.2,106.0,1.52,336.1,792.2,9174.4,1.4,75.1,0.0,240.2,0.0,26.9,4.7,667.19,1602.65,2269.84,2269.84,1.5165545
0.184,0.186,0.186,0.184,10.69,sim-5.choices,HTAP-work-0,5,HTAP-sim-5,5973.94,2144.8500000000004,4979.96,11694.2,3504.8300000000004,15199.03,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps3inEffR15,NBC2020-gas-boiler,NC-3g-LG-u0.85,81.7,0.0,0.0,90.6,139.6,6564.4,3113.5,8.5,0.7,4.1,24.9,79.1,8.2,79.1,1.1,381.7,1962.3,9902.2,1.6,89.1,0.0,264.0,0.0,27.2,4.9,669.92,1797.49,2467.41,2467.41,1.1002637999999998
0.184,0.186,0.186,0.184,10.69,sim-6.choices,HTAP-work-1,6,HTAP-sim-6,5973.94,9703.4,4979.96,11694.2,11063.38,22757.58,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps3inEffR15,ASHP,NC-3g-LG-u0.85,77.4,10.4,0.1,56.3,105.3,21796.8,721.5,8.5,30.6,4.1,6.6,109.1,8.2,109.1,1.05,271.0,750.2,9380.5,56.3,0.0,15.2,250.2,0.7,26.9,4.7,1739.24,550.72,2289.96,2289.96,1.0524665999999998
0.184,0.186,0.186,0.184,10.69,sim-7.choices,HTAP-work-2,7,HTAP-sim-7,5973.94,26040.9,4979.96,11694.2,27400.88,39095.08,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps3inEffR15,GSHP,NC-3g-LG-u0.85,77.4,8.6,0.0,24.4,73.4,12914.1,721.5,8.5,30.6,4.1,7.5,109.1,8.2,109.1,1.02,167.8,750.2,9380.5,24.4,0.0,19.9,250.0,0.2,26.9,4.7,1115.67,550.72,1666.39,1666.39,1.0198932
0.184,0.186,0.186,0.184,10.69,sim-8.choices,HTAP-work-3,8,HTAP-sim-8,5973.94,3544.1800000000003,4979.96,11694.2,4904.16,16598.36,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps3inEffR15,condensing-gas-furnace,NC-3g-LG-u0.85,77.4,0.0,0.0,79.7,128.6,6541.7,2821.7,8.5,30.6,4.1,6.8,109.1,8.2,109.1,1.1,346.3,750.2,9380.5,1.5,78.2,0.0,250.1,0.0,26.9,4.7,668.33,1645.95,2314.28,2314.28,1.0988342
0.425,0.431,0.431,0.425,13.59,sim-9.choices,HTAP-work-0,9,HTAP-sim-9,4917.8,2144.8500000000004,5988.099999999999,11646.2,3504.8300000000004,15151.03,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps4inEffR20,NBC2020-gas-boiler,NC-3g-HG-u1.08,75.5,0.0,0.0,83.7,132.7,6531.5,2931.6,6.9,0.5,4.4,23.4,79.9,10.4,79.9,1.11,359.4,2487.1,9849.2,1.4,82.3,0.0,243.9,0.0,27.2,9.7,667.62,1702.84,2370.46,2370.46,1.1097973
0.425,0.431,0.431,0.425,13.59,sim-10.choices,HTAP-work-1,10,HTAP-sim-10,4917.8,9703.4,5988.099999999999,11646.2,11063.38,22709.58,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps4inEffR20,ASHP,NC-3g-HG-u1.08,72.1,4.5,0.3,52.5,101.8,20803.4,721.5,6.9,28.8,4.4,6.5,108.2,10.4,108.2,1.0,259.3,1343.0,9356.7,52.5,0.0,14.8,232.8,1.4,27.0,9.1,1669.5,550.71,2220.21,2220.21,0.998089
