archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-S,archetype|Win-SHGC-W,archetype|Window-UAValue,configuration|ChoiceFile,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|total,input|House-ListOfUpgrades,input|Opt-FoundationWallExtIns,input|Opt-Heating-Cooling,input|Opt-Windows,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|Energy-CoolingGJ,output|Energy-HeatingGJ,output|Energy-Total-GJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnvAGBsemntHL-GJ,output|EnvBGBsemntHL-GJ,output|EnvBsemntFHHL-GJ,output|EnvFABsemntHL-GJ,output|EnvTotalHL-GJ,output|EnvWinHL-GJ,output|Gross-HeatLoss-GJ,output|LapsedTime,output|MEUI_kWh_m2,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatHP-GJ,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Internal-Gain-GJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-gross,status|H2KExecutionTime
0.186,0.187,0.187,0.186,21.09,sim-1.choices,HTAP-work-0,1,HTAP-sim-1,11781.67,3376.24,12029.77,25313.94,4736.219999999999,30050.16,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps4inEffR20,NBC2020-gas-boiler,NC-3g-LG-u0.85,175.6,0.0,0.0,194.8,243.7,7060.8,5861.9,14.1,0.9,8.9,45.4,149.7,16.2,149.7,1.35,354.9,3440.0,18191.9,3.3,191.4,0.0,280.4,0.0,28.2,11.0,704.77,3225.04,3929.8,3929.8,1.3489987
0.186,0.187,0.187,0.186,21.09,sim-2.choices,HTAP-work-1,2,HTAP-sim-2,11781.67,10934.79,12029.77,25313.94,12294.77,37608.71,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps4inEffR20,ASHP,NC-3g-LG-u0.85,166.0,6.5,0.1,120.1,169.2,39523.3,721.6,14.1,55.9,8.9,10.7,204.6,16.2,204.6,1.3,235.8,1215.3,17234.3,120.1,0.0,30.3,265.0,0.6,28.1,10.5,2983.64,550.76,3534.4,3534.4,1.303007
0.186,0.187,0.187,0.186,21.09,sim-3.choices,HTAP-work-2,3,HTAP-sim-3,11781.67,30411.79,12029.77,25313.94,31771.77,57085.71,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps4inEffR20,GSHP,NC-3g-LG-u0.85,165.9,5.7,0.0,51.8,100.8,20540.5,721.5,14.1,55.9,8.9,12.7,204.6,16.2,204.6,1.4,126.7,1215.3,17234.3,51.8,0.0,42.3,264.9,0.2,28.1,10.6,1651.04,550.76,2201.8,2201.8,1.3993038999999998
0.186,0.187,0.187,0.186,21.09,sim-4.choices,HTAP-work-3,4,HTAP-sim-4,11781.67,4775.57,12029.77,25313.94,6135.549999999999,31449.49,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps4inEffR20,condensing-gas-furnace,NC-3g-LG-u0.85,166.0,0.0,0.0,170.8,219.8,7009.9,5223.9,14.1,55.9,8.9,11.2,204.6,16.2,204.6,1.37,316.7,1215.3,17234.3,3.2,167.7,0.0,265.0,0.0,28.1,10.5,701.19,2893.77,3594.96,3594.96,1.3681428999999998
0.186,0.187,0.187,0.186,21.09,sim-5.choices,HTAP-work-0,5,HTAP-sim-5,11781.67,3376.24,10004.48,23288.65,4736.219999999999,28024.870000000003,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps3inEffR15,NBC2020-gas-boiler,NC-3g-LG-u0.85,182.5,0.0,0.0,202.4,251.3,7096.9,6062.1,17.3,1.3,8.2,46.1,152.5,16.2,152.5,1.12,367.0,3491.1,18659.2,3.5,198.9,0.0,291.3,0.0,28.3,11.0,707.31,3329.04,4036.35,4036.35,1.1243128999999998
0.186,0.187,0.187,0.186,21.09,sim-6.choices,HTAP-work-1,6,HTAP-sim-6,11781.67,10934.79,10004.48,23288.65,12294.77,35583.42,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps3inEffR15,ASHP,NC-3g-LG-u0.85,172.1,7.7,0.1,124.6,173.7,40776.8,721.6,17.3,59.5,8.2,10.8,210.7,16.2,210.7,1.06,243.0,1134.2,17644.7,124.6,0.0,31.0,274.8,0.6,28.1,10.5,3071.64,550.77,3622.41,3622.41,1.0557183
0.186,0.187,0.187,0.186,21.09,sim-7.choices,HTAP-work-2,7,HTAP-sim-7,11781.67,30411.79,10004.48,23288.65,31771.77,55060.420000000006,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps3inEffR15,GSHP,NC-3g-LG-u0.85,172.0,6.8,0.0,53.7,102.7,21063.2,721.6,17.3,59.5,8.2,12.8,210.7,16.2,210.7,1.04,129.8,1134.2,17644.7,53.7,0.0,43.8,274.6,0.2,28.1,10.6,1687.74,550.76,2238.5,2238.5,1.0428683
0.186,0.187,0.187,0.186,21.09,sim-8.choices,HTAP-work-3,8,HTAP-sim-8,11781.67,4775.57,10004.48,23288.65,6135.549999999999,29424.2,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps3inEffR15,condensing-gas-furnace,NC-3g-LG-u0.85,172.1,0.0,0.0,177.1,226.0,7042.1,5389.1,17.3,59.5,8.2,11.2,210.8,16.2,210.8,1.04,326.7,1134.2,17644.7,3.3,173.8,0.0,274.7,0.0,28.1,10.6,703.45,2979.62,3683.07,3683.07,1.0447979
0.429,0.434,0.434,0.429,26.79,sim-9.choices,HTAP-work-0,9,HTAP-sim-9,9698.78,3376.24,12029.77,23231.050000000003,4736.219999999999,27967.27,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps4inEffR20,NBC2020-gas-boiler,NC-3g-HG-u1.08,168.9,0.0,0.0,187.3,236.3,7025.4,5665.8,14.1,0.9,8.9,44.1,154.0,20.6,154.0,1.1,343.0,4549.6,18551.5,3.2,184.1,0.0,269.7,0.0,28.3,21.7,702.28,3123.16,3825.45,3825.45,1.1044892
0.429,0.434,0.434,0.429,26.79,sim-10.choices,HTAP-work-1,10,HTAP-sim-10,9698.78,10934.79,12029.77,23231.050000000003,12294.77,35525.82,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps4inEffR20,ASHP,NC-3g-HG-u1.08,160.5,3.6,0.3,117.1,166.4,38769.9,721.5,14.1,55.9,8.9,10.7,209.0,20.6,209.0,1.04,231.4,2324.9,17593.9,117.1,0.0,29.4,256.2,1.5,28.1,20.4,2930.76,550.76,3481.52,3481.52,1.0418848
