archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-S,archetype|Win-SHGC-W,archetype|Window-UAValue,configuration|ChoiceFile,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|total,input|House-ListOfUpgrades,input|Opt-FoundationWallExtIns,input|Opt-Heating-Cooling,input|Opt-Windows,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|Energy-CoolingGJ,output|Energy-HeatingGJ,output|Energy-Total-GJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnvAGBsemntHL-GJ,output|EnvBGBsemntHL-GJ,output|EnvBsemntFHHL-GJ,output|EnvFABsemntHL-GJ,output|EnvTotalHL-GJ,output|EnvWinHL-GJ,output|Gross-HeatLoss-GJ,output|LapsedTime,output|MEUI_kWh_m2,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatHP-GJ,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-gross,status|H2KExecutionTime
0.186,0.187,0.187,0.186,21.09,sim-1.choices,HTAP-work-0,1,HTAP-sim-1,11781.67,8090.9,12029.77,25979.98,9450.88,35430.86,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps4inEffR20,NBC2020-gas-boiler,NC-3g-LG-u0.85,270.3,0.0,0.0,299.8,348.7,7561.4,8633.6,14.1,0.9,8.9,48.6,245.2,16.2,245.2,1.38,178.0,4524.2,27967.6,5.1,294.6,0.0,147.0,0.0,12.0,739.91,4664.08,5403.99,5403.99,1.3783636
0.186,0.187,0.187,0.186,21.09,sim-2.choices,HTAP-work-1,2,HTAP-sim-2,11781.67,15649.45,12029.77,25979.98,17009.43,42989.41,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps4inEffR20,ASHP,NC-3g-LG-u0.85,260.1,3.6,0.1,191.0,240.1,59224.7,721.6,14.1,55.9,8.9,11.0,300.2,16.2,300.2,1.36,118.9,2299.4,27010.0,191.0,0.0,46.2,141.4,0.6,11.8,4366.68,550.76,4917.45,4917.45,1.3623267
0.186,0.187,0.187,0.186,21.09,sim-3.choices,HTAP-work-2,3,HTAP-sim-3,11781.67,35126.45,12029.77,25979.98,36486.43,62466.41,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps4inEffR20,GSHP,NC-3g-LG-u0.85,260.0,3.5,0.1,81.1,130.2,28691.1,721.5,14.1,55.9,8.9,14.0,300.2,16.2,300.2,1.4,59.1,2299.4,27010.0,81.1,0.0,66.1,141.4,0.4,11.9,2223.22,550.76,2773.97,2773.97,1.4030879
0.186,0.187,0.187,0.186,21.09,sim-4.choices,HTAP-work-3,4,HTAP-sim-4,11781.67,9490.23,12029.77,25979.98,10850.21,36830.19,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps4inEffR20,condensing-gas-furnace,NC-3g-LG-u0.85,260.1,0.0,0.0,267.6,316.6,7507.1,7775.3,14.1,55.9,8.9,11.6,300.2,16.2,300.2,1.38,160.5,2299.4,27010.0,4.9,262.7,0.0,141.4,0.0,11.9,736.1,4218.5,4954.6,4954.6,1.380785
0.186,0.187,0.187,0.186,21.09,sim-5.choices,HTAP-work-0,5,HTAP-sim-5,11781.67,8090.9,10004.48,23954.69,9450.88,33405.57,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps3inEffR15,NBC2020-gas-boiler,NC-3g-LG-u0.85,277.1,0.0,0.0,307.3,356.3,7597.4,8833.0,17.3,1.3,8.2,49.1,248.1,16.2,248.1,1.12,182.1,4575.3,28434.9,5.3,302.1,0.0,150.7,0.0,12.0,742.44,4767.6,5510.04,5510.04,1.1168494
0.186,0.187,0.187,0.186,21.09,sim-6.choices,HTAP-work-1,6,HTAP-sim-6,11781.67,15649.45,10004.48,23954.69,17009.43,40964.12,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps3inEffR15,ASHP,NC-3g-LG-u0.85,266.1,3.6,0.1,195.0,244.1,60338.5,721.6,17.3,59.5,8.2,11.0,306.3,16.2,306.3,1.02,121.0,2218.4,27420.4,195.0,0.0,47.4,144.7,0.6,11.9,4444.87,550.77,4995.63,4995.63,1.0217561000000002
0.186,0.187,0.187,0.186,21.09,sim-7.choices,HTAP-work-2,7,HTAP-sim-7,11781.67,35126.45,10004.48,23954.69,36486.43,60441.12,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps3inEffR15,GSHP,NC-3g-LG-u0.85,266.1,3.6,0.1,83.0,132.0,29216.3,721.5,17.3,59.5,8.2,14.1,306.3,16.2,306.3,1.07,60.1,2218.4,27420.4,83.0,0.0,67.6,144.7,0.4,11.9,2260.09,550.76,2810.85,2810.85,1.0725309
0.186,0.187,0.187,0.186,21.09,sim-8.choices,HTAP-work-3,8,HTAP-sim-8,11781.67,9490.23,10004.48,23954.69,10850.21,34804.899999999994,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps3inEffR15,condensing-gas-furnace,NC-3g-LG-u0.85,266.2,0.0,0.0,273.9,322.9,7539.4,7940.8,17.3,59.5,8.2,11.7,306.3,16.2,306.3,1.03,163.9,2218.4,27420.4,5.1,268.8,0.0,144.7,0.0,11.9,738.37,4304.43,5042.8,5042.8,1.030604
0.429,0.434,0.434,0.429,26.79,sim-9.choices,HTAP-work-0,9,HTAP-sim-9,9698.78,8090.9,12029.77,23897.09,9450.88,33347.97,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps4inEffR20,NBC2020-gas-boiler,NC-3g-HG-u1.08,261.1,0.0,0.0,289.6,338.5,7512.8,8364.3,14.1,0.9,8.9,46.8,249.6,20.6,249.6,1.09,172.4,5676.1,28327.2,5.0,284.6,0.0,142.0,0.0,25.0,736.5,4524.18,5260.68,5260.68,1.0925782000000002
0.429,0.434,0.434,0.429,26.79,sim-10.choices,HTAP-work-1,10,HTAP-sim-10,9698.78,15649.45,12029.77,23897.09,17009.43,40906.52,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps4inEffR20,ASHP,NC-3g-HG-u1.08,251.8,3.4,0.3,186.3,235.7,58005.0,721.5,14.1,55.9,8.9,11.0,304.6,20.6,304.6,1.06,116.4,3451.3,27369.6,186.3,0.0,45.1,136.9,1.4,24.5,4281.06,550.76,4831.82,4831.82,1.0553999
